"","revenue","vote_average","genre.1","genre.2","genre.3","Director","actor.1","actor.2","actor.3","Action","Adventure","Animation","Comedy","Crime","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western"
"64",303144152,6.9,"Drama","Romance","Science Fiction","Morten Tyldum","Jennifer Lawrence","Chris Pratt","Michael Sheen","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0"
"65",962102237,6.8,"Action","Adventure","Comedy","Jake Kasdan","Dwayne Johnson","Jack Black","Kevin Hart","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66",353624124,7.3,"Action","Science Fiction","Adventure","Matthew Vaughn","James McAvoy","Laurence Belcher","Michael Fassbender","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"67",497366869,7.5,"Animation","Comedy","Family","John Lasseter","Tom Hanks","Tim Allen","Joan Cusack","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"68",348319861,7.1,"Action","Mystery","Science Fiction","Wes Ball","Dylan O'Brien","Kaya Scodelario","Ki Hong Lee","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"69",469310836,7.3,"Comedy","NULL","NULL","Todd Phillips","Bradley Cooper","Ed Helms","Zach Galifianakis","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70",446486224,7.9,"Comedy","Drama","Romance","Damien Chazelle","Ryan Gosling","Emma Stone","John Legend","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"71",460583960,8.2,"Action","Drama","Adventure","Ridley Scott","Russell Crowe","Joaquin Phoenix","Connie Nielsen","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"72",821708551,7.1,"Fantasy","Action","NULL","Sam Raimi","Tobey Maguire","Willem Dafoe","Kirsten Dunst","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"73",426480871,8.2,"Drama","Comedy","NULL","Éric Toledano","François Cluzet","Omar Sy","Audrey Fleurot","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"74",757930663,6.5,"Action","Adventure","Fantasy","Marc Webb","Andrew Garfield","Emma Stone","Rhys Ifans","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"75",414351546,7.6,"Crime","Comedy","Action","Matthew Vaughn","Colin Firth","Taron Egerton","Samuel L. Jackson","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"76",180899045,8,"Action","Crime","NULL","Quentin Tarantino","Uma Thurman","Lucy Liu","Vivica A. Fox","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"77",1108561013,7.1,"Action","Adventure","Thriller","Sam Mendes","Daniel Craig","Judi Dench","Javier Bardem","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"78",126546825,6.4,"Action","Science Fiction","NULL","Luc Besson","Scarlett Johansson","Morgan Freeman","Choi Min-sik","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
